Jennifer Messelier	French_people
Claude Montana	French_people
Thierry Mugler	French_people
Paul Poiret	French_people
Nina Ricci (designer)	French_people
Sonia Rykiel	French_people
Yves Saint Laurent (designer)	French_people
Hedi Slimane	French_people
Louis Vuitton (designer)	French_people
Gaul	French_people
King of France	French_people
Edmond Rostand	French_people
Anne Rice	French_people
Lestat de Lioncourt	French_people
Patrick Stewart	French_people
Antoine de Saint-Exupery	French_people
Palais Garnier	French_people
Honore de Balzac	French_people
The Man in the Iron Mask	French_people
Pink Panther	French_people
The Transporter	French_people
Amelie	French_people
Les Miserables	French_people
Les Miserables	French_people
Marvel Universe	French_people
Tanguy et Laverdure	French_people
Punch-Out!!	French_people
Takeshi Obata	French_people
Looney Tunes	French_people
Olivier Assayas	French_people
Jacques Becker	French_people
Jean-Jacques Beineix	French_people
Luc Besson	French_people
Alice Guy-Blache	French_people
Bertrand Blier	French_people
Catherine Breillat	French_people
Robert Bresson	French_people
Laurent Cantet	French_people
Yves Caumon	French_people
Andre Cayatte	French_people
Claude Chabrol	French_people
Jean-Paul Civeyrac	French_people
Rene Clair	French_people
Rene Clement	French_people
Henri-Georges Clouzot	French_people
Jean Cocteau	French_people
Fabien Cousteau	French_people
Jacques Cousteau	French_people
Jacques Demy	French_people
Henri Diamant-Berger	French_people
Abel Gance	French_people
Jean-Luc Godard	French_people
Michel Gondry	French_people
Michel Hazanavicius	French_people
Jean-Pierre Jeunet	French_people
Mathieu Kassovitz	French_people
Jan Kounen	French_people
Patrice Leconte	French_people
Claude Lelouch	French_people
Philippe Lioret	French_people
Louis Malle	French_people
Andre Malraux	French_people
Georges Melies	French_people
Jean-Pierre Melville	French_people
Maurice Pialat	French_people
Jean Renoir	French_people
Alain Resnais	French_people
Yves Robert	French_people
Eric Rohmer	French_people
Jean Rollin	French_people
Alain Sarde	French_people
Claude Sautet	French_people
Jacques Tati	French_people
Jacques Tourneur	French_people
Maurice Tourneur	French_people
Francois Truffaut	French_people
Roger Vadim	French_people
Agnes Varda	French_people
Jean Vigo	French_people
Alain Chabat	French_people
Coluche	French_people
Pierre Dac	French_people
Jamel Debbouze	French_people
Pierre Desproges	French_people
Raymond Devos	French_people
Gad Elmaleh	French_people
Florence Foresti	French_people
Thierry Le Luron	French_people
Dieudonne M'bala M'bala	French_people
Cabu	French_people
Charlemagne	French_people
